Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),N_RAD,BESCHLEUNIGUNG,LEISTUNG,DREHMOMENT
1,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255,0,0,0,0
2,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255,0,0,0,0
3,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255,0,0,0,0
4,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255,0,0,0,0
5,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255,0,0,0,0
6,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255,0,0,0,0
7,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255,0,0,0,0
8,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255,0,0,0,0
9,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255,0,0,0,0
10,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255,0,0,0,0
11,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255,0,0,0,0
12,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255,0,0,0,0
13,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,101,0,26,5,39.099998,26.5,10.605,0,0,7495,0,255,0,0,0,0
14,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,50.196079,16.078432,31.764706,20,0,101,0,26,5,39.099998,26.5,10.605,0,0,7495,0,255,0,0,0,0
15,0,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,50.196079,16.078432,31.764706,20,0,101,0,25,24,39.099998,26.5,10.605,0,0,7495,0,255,0,0,0,0
16,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,50.196079,16.078432,31.764706,20,0,101,0,25,24,39.099998,26.5,10.605,0,0,7495,0,255,0,0,0,0
17,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,24,39.099998,26.5,12.011,0,0,7495,0,255,0,0,0,0
18,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,24,39.099998,26.5,12.011,0,0,7495,0,255,0,0,0,0
