Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),N_RAD,BESCHLEUNIGUNG,LEISTUNG,DREHMOMENT
1,0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,0,100,0,25,5,434.700012,295.100006,12.324,0,0,7835,0,255,0,0,0,0
2,0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,0,100,0,25,5,434.700012,295.100006,12.343,0,0,7835,0,255,0,0,0,0
3,0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,0,100,0,25,5,434.700012,295.100006,12.343,0,0,7835,0,255,0,0,0,0
4,0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,0,100,0,25,5,434.700012,295.100006,12.343,0,0,7835,0,255,0,0,0,0
5,0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,0,100,0,25,5,434.700012,295.100006,12.343,0,0,7835,0,255,0,0,0,0
6,0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,44.705883,16.078432,31.764706,19.215687,0,100,0,25,5,434.700012,295.100006,10.332,0,0,7835,0,255,0,0,0,0
7,0,1732.75,0,18.039215,27.843138,25,2.34375,0,26,36.07843,44.705883,16.078432,31.764706,19.215687,0,100,0,25,24,434.700012,295.100006,10.332,0,0,7835,0,255,0,0,0,0
8,1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,44.705883,16.078432,31.764706,19.215687,0,100,0,24,24,434.700012,295.100006,10.332,0,0,7835,0,255,0,0,0,0
9,1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,52.156864,16.078432,31.764706,19.215687,0,100,0.784314,24,24,434.700012,295.100006,11.953,0,0,7835,0,255,0,0,0,0
10,1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,24,24,434.700012,295.100006,11.953,0,0,7835,0,255,0,0,0,0
11,1,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,24,24,434.700012,295.100006,11.953,0,0,7835,0,255,0,0,0,0
12,3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,24,24,434.700012,295.100006,11.953,0,0,7835,0,255,0,0,0,0
13,3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,24,24,25.699997,24.599998,14.14,0,0,7835,0,255,0,0,0,0
14,3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,24,24,25.699997,24.599998,14.14,0,0,7835,0,255,0,0,0,0
15,4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,25,21,25.699997,24.599998,14.14,0,0,7835,0,255,0,0,0,0
16,4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,0,100,0.784314,25,21,30.099998,24.599998,14.14,0,0,7835,0,255,0,0,0,0
17,4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,25,21,30.099998,24.599998,14.414,0,0,7835,0,255,0,0,0,0
18,4,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,25,21,30.099998,24.599998,14.414,0,0,7835,0,255,0,0,0,0
19,6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,25,20,30.099998,24.599998,14.414,0,0,7835,0,255,0,0,0,0
20,6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,25,20,36.5,24.599998,14.414,0,0,7835,0,255,0,0,0,0
21,6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,25,20,36.5,24.599998,14.414,0,0,7835,0,255,0,0,0,0
22,6,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,25,15,36.5,24.599998,14.414,0,0,7835,0,255,0,0,0,0
23,8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,25,15,36.5,24.599998,14.414,0,0,7835,0,255,0,0,0,0
24,8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,15,44.099998,24.599998,13.593,0,0,7835,0,255,0,0,0,0
25,8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,15,44.099998,24.599998,13.593,0,0,7835,0,255,0,0,0,0
26,10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,44.099998,24.599998,13.593,0,0,7835,0,255,0,0,0,0
27,10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,44.099998,24.599998,13.593,0,0,7835,0,255,0,0,0,0
28,10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,48.800003,24.699997,14.316,0,0,7835,0,255,0,0,0,0
29,10,1519.5,0,20.784313,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,48.800003,24.699997,14.316,0,0,7835,0,255,0,0,0,0
30,12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,5,48.800003,24.699997,14.316,0,0,7835,0,255,0,0,0,0
31,12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,5,60.099998,24.800003,14.316,0,0,7835,0,255,0,0,0,0
32,12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,5,60.099998,24.800003,14.316,0,0,7835,0,255,0,0,0,0
33,12,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,60.099998,24.800003,14.316,0,0,7835,0,255,0,0,0,0
34,13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,60.099998,24.800003,14.316,0,0,7835,0,255,0,0,0,0
35,13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,73.099998,25,14.316,0,0,7835,0,255,0,0,0,0
36,13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,9,73.099998,25,14.316,0,0,7835,0,255,0,0,0,0
37,13,1350,0,21.17647,38.823528,28,0,0,39,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,5,73.099998,25,14.316,0,0,7835,0,255,0,0,0,0
38,15,1350,0,21.17647,38.823528,28,0,0,39,36.07843,53.725491,16.078432,31.764706,20.784313,0,100,1.960784,25,5,73.099998,25,14.316,0,0,7835,0,255,0,0,0,0
39,15,1350,0,21.17647,38.823528,28,0,0,39,36.07843,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,25,5,87.300003,25.300003,14.296,0,0,7835,0,255,0,0,0,0
40,15,1350,0,21.17647,41.176472,29,-0.78125,0,39,36.07843,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,25,5,87.300003,25.300003,14.296,0,0,7835,0,255,0,0,0,0
41,17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,36.07843,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,25,2,87.300003,25.300003,14.296,0,0,7835,0,255,0,0,0,0
42,17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,37.254902,54.117645,16.078432,31.764706,21.17647,0,100,1.960784,25,2,94.899994,25.5,14.277,0,0,7835,0,255,0,0,0,0
43,17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,37.254902,54.117645,16.078432,31.764706,21.17647,0,100,2.352941,25,2,94.899994,25.5,14.277,0,0,7835,0,255,0,0,0,0
44,17,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,54.117645,16.078432,31.764706,21.17647,0,100,2.352941,25,-1,94.899994,25.5,14.277,0,0,7835,0,255,0,0,0,0
45,19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,54.117645,16.078432,31.764706,21.17647,0,100,2.352941,25,-1,94.899994,25.5,14.277,0,0,7835,0,255,0,0,0,0
46,19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,25,-1,110.600006,26,14.277,0,0,7835,0,255,0,0,0,0
47,19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,25,-1,110.600006,26,14.277,0,0,7835,0,255,0,0,0,0
48,19,1375,0,20.784313,38.823528,30,0,0,37,37.254902,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,26,0,110.600006,26,14.277,0,0,7835,0,255,0,0,0,0
49,21,1375,0,20.784313,38.823528,30,0,0,37,36.862743,53.725491,16.078432,31.764706,21.17647,0,100,1.960784,26,0,110.600006,26,14.277,0,0,7835,0,255,0,0,0,0
50,21,1375,0,20.784313,38.823528,30,0,0,37,36.862743,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,26,0,126.600006,26.699997,14.277,0,0,7835,0,255,0,0,0,0
51,21,1375,0,20.784313,38.039215,31,0,0,37,36.862743,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,26,0,126.600006,26.699997,14.277,0,0,7835,0,255,0,0,0,0
52,22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,26,9,126.600006,26.699997,14.277,0,0,7835,0,255,0,0,0,0
53,22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,53.333332,16.078432,31.764706,20.784313,0,100,1.568627,26,9,141.699997,27.400002,14.257,0,0,7835,0,255,0,0,0,0
54,22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,9,141.699997,27.400002,14.257,0,0,7835,0,255,0,0,0,0
55,22,1189,0,20,37.254902,31,0,0,37,36.862743,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,8,141.699997,27.400002,14.257,0,0,7835,0,255,0,0,0,0
56,24,1189,0,20,37.254902,31,0,0,37,37.254902,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,8,141.699997,27.400002,14.257,0,0,7835,0,255,0,0,0,0
57,24,1189,0,20,37.254902,31,0,0,37,37.254902,52.549019,16.078432,31.764706,20.392157,0,100,0.784314,26,8,148.899994,27.800003,14.257,0,0,7835,0,255,0,0,0,0
58,24,1189,0,20,37.254902,31,0,0,37,37.254902,52.549019,16.078432,31.764706,20,0,100,0.784314,26,8,148.899994,27.800003,14.257,0,0,7835,0,255,0,0,0,0
59,24,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.549019,16.078432,31.764706,20,0,100,0.784314,26,7,148.899994,27.800003,14.257,0,0,7835,0,255,0,0,0,0
60,26,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.549019,16.078432,31.764706,20,0,100,0.784314,26,7,148.899994,27.800003,14.257,0,0,7835,0,255,0,0,0,0
61,26,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,7,162.5,28.699997,14.238,0,0,7835,0,255,0,0,0,0
62,26,1133.5,0,20,37.254902,33,0,0,36,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,7,162.5,28.699997,14.238,0,0,7835,0,255,0,0,0,0
63,28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,3,162.5,28.699997,14.238,0,0,7835,0,255,0,0,0,0
64,28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,3,174.699997,29.599998,14.238,0,0,7835,0,255,0,0,0,0
65,28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,3,174.699997,29.599998,14.199,0,0,7835,0,255,0,0,0,0
66,28,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,0,174.699997,29.599998,14.199,0,0,7835,0,255,0,0,0,0
67,30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,0,174.699997,29.599998,14.199,0,0,7835,0,255,0,0,0,0
68,30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,0,186.100006,30.5,14.179,0,0,7835,0,255,0,0,0,0
69,30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,20,0,100,0.784314,26,0,186.100006,30.5,14.179,0,0,7835,0,255,0,0,0,0
70,30,982.75,0,20,42.35294,35,-0.78125,0,42,37.254902,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-2,186.100006,30.5,14.179,0,0,7835,0,255,0,0,0,0
71,31,982.75,0,20,42.35294,35,-0.78125,0,42,36.862743,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-2,186.100006,30.5,14.179,0,0,7835,0,255,0,0,0,0
72,31,982.75,0,20,42.35294,35,-0.78125,0,42,36.862743,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-2,191.600006,31,14.199,0,0,7835,0,255,0,0,0,0
73,31,982.75,0,20,45.490196,35,-1.5625,0,42,36.862743,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-2,191.600006,31,14.199,0,0,7835,0,255,0,0,0,0
74,33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.862743,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-2,191.600006,31,14.199,0,0,7835,0,255,0,0,0,0
75,33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.07843,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-2,202.300003,32.099998,14.199,0,0,7835,0,255,0,0,0,0
76,33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-2,202.300003,32.099998,14.16,0,0,7835,0,255,0,0,0,0
77,33,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-2,202.300003,32.099998,14.16,0,0,7835,0,255,0,0,0,0
78,35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-2,202.300003,32.099998,14.16,0,0,7835,0,255,0,0,0,0
79,35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-2,213,33.300003,14.199,0,0,7835,0,255,0,0,0,0
80,35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-2,213,33.300003,14.199,0,0,7835,0,255,0,0,0,0
81,35,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-6,213,33.300003,14.199,0,0,7835,0,255,0,0,0,0
82,37,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,-6,213,33.300003,14.199,0,0,7835,0,255,0,0,0,0
83,37,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,26,-6,223.5,34.599998,14.218,0,0,7835,0,255,0,0,0,0
84,37,1046.75,0,20,43.92157,36,-0.78125,-10.9375,43,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,26,-6,223.5,34.599998,14.218,0,0,7835,0,255,0,0,0,0
85,39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,36.07843,52.549019,16.078432,31.764706,20,0,100,0.784314,26,7,223.5,34.599998,14.218,0,0,7835,0,255,0,0,0,0
86,39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,35.294117,52.549019,16.078432,31.764706,20,0,100,0.784314,26,7,228.5,35.300003,14.218,0,0,7835,0,255,0,0,0,0
87,39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,35.294117,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,7,228.5,35.300003,14.121,0,0,7835,0,255,0,0,0,0
88,39,900,0,20,49.411766,37,-1.5625,-8.59375,50,35.294117,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,4,228.5,35.300003,14.121,0,0,7835,0,255,0,0,0,0
89,41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.294117,52.941177,16.078432,31.764706,20.392157,0,100,1.176471,26,4,228.5,35.300003,14.121,0,0,7835,0,255,0,0,0,0
90,41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.686275,52.549019,16.078432,31.764706,20.392157,0,100,1.176471,26,4,238.5,36.800003,14.179,0,0,7835,0,255,0,0,0,0
