INDEX (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
1,0,0,0,17.647058,0,87,-5.46875,0,101,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,5,437.700012,271,12.304,0,0,8544,0,255
2,0,0,0,17.647058,0,87,-5.46875,0,101,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,5,437.700012,271,12.304,0,0,8544,0,255
3,0,0,0,17.647058,0,87,-5.46875,0,101,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,5,437.700012,271,12.304,0,0,8544,0,255
4,0,0,0,17.647058,0,87,-5.46875,0,101,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,5,437.700012,271,10.039,0,0,8544,0,255
5,0,0,0,17.647058,0,87,-5.46875,0,101,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,5,437.700012,271,10.039,0,0,8544,0,255
6,0,1750.75,0,17.647058,26.274509,87,2.34375,0,22,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,11,437.700012,271,10.039,0,0,8544,0,255
7,0,1750.75,0,17.647058,26.274509,87,2.34375,0,22,67.450981,49.411766,16.078432,31.764706,17.647058,0,100,0,55,11,437.700012,271,10.039,0,0,8544,0,255
8,0,1750.75,0,17.647058,26.274509,87,2.34375,0,22,67.450981,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,55,11,437.700012,271,11.738,0,0,8544,0,255
9,0,1750.75,0,17.647058,32.156864,87,0.78125,0,22,67.450981,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,55,11,437.700012,271,11.738,0,0,8544,0,255
10,2,1182,0,19.607843,32.156864,87,0.78125,0,33,67.450981,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,55,0,437.700012,271,11.738,0,0,8544,0,255
11,2,1182,0,19.607843,32.156864,87,0.78125,0,33,67.450981,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,55,0,72.099998,71.699997,11.738,0,0,8544,0,255
12,2,1182,0,19.607843,32.156864,87,0.78125,0,33,67.450981,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,55,0,72.099998,71.699997,11.933,0,0,8544,0,255
13,2,1056.25,0,19.607843,33.333332,86,0,0,33,67.450981,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,55,5,72.099998,71.699997,11.933,0,0,8544,0,255
14,4,1056.25,0,19.215687,33.333332,86,0,0,33,67.450981,51.764706,16.078432,31.764706,19.215687,0,100,0.392157,55,5,72.099998,71.699997,11.933,0,0,8544,0,255
15,4,1056.25,0,19.215687,33.333332,86,0,0,33,67.058823,50.980392,16.078432,31.764706,19.215687,0,100,0,55,5,75.699997,73.5,13.535,0,0,8544,0,255
16,4,1056.25,0,19.215687,33.333332,86,0,0,33,67.058823,50.980392,16.078432,31.764706,18.82353,0,100,0,55,5,75.699997,73.5,13.535,0,0,8544,0,255
17,4,808.5,0,18.82353,39.607841,85,-1.5625,0,40,67.058823,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,75.699997,73.5,13.535,0,0,8544,0,255
18,6,808.5,0,18.82353,39.607841,85,-1.5625,0,40,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,75.699997,73.5,13.535,0,0,8544,0,255
19,6,808.5,0,18.82353,39.607841,85,-1.5625,0,40,67.450981,56.07843,22.745098,36.07843,18.82353,0,100,1.960784,56,7,80.699997,75.699997,13.378,0,0,8544,0,255
20,6,808.5,0,18.82353,50.588234,85,-1.5625,0,40,67.450981,56.07843,22.745098,36.07843,18.82353,0,100,1.960784,56,7,80.699997,75.699997,13.378,0,0,8544,0,255
21,8,620.25,0,18.82353,50.588234,85,-2.34375,0,50,67.450981,56.07843,22.745098,36.07843,18.82353,0,100,1.960784,56,7,80.699997,75.699997,13.378,0,0,8544,0,255
22,8,620.25,0,18.82353,50.588234,85,-2.34375,0,50,67.450981,56.07843,22.745098,36.07843,18.82353,0,100,1.960784,56,7,86.800003,78.5,13.378,0,0,8544,0,255
23,8,620.25,0,18.82353,50.588234,85,-2.34375,0,50,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,86.800003,78.5,12.695,0,0,8544,0,255
24,8,692.75,4,18.82353,50.196079,85,-2.34375,0,50,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-8,86.800003,78.5,12.695,0,0,8544,0,255
25,9,692.75,4,18.82353,50.196079,85,-2.34375,0,50,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-8,86.800003,78.5,12.695,0,0,8544,0,255
26,9,692.75,4,18.82353,50.196079,85,-2.34375,0,50,66.274513,54.509804,16.078432,31.764706,18.82353,0,100,2.745098,56,-8,90.100006,80,13.632,0,0,8544,0,255
27,9,692.75,4,18.82353,50.196079,85,-2.34375,0,50,66.274513,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,-8,90.100006,80,13.632,0,0,8544,0,255
28,9,1228,8,21.17647,55.294117,86,-1.5625,-5.46875,50,66.274513,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,17,90.100006,80,13.632,0,0,8544,0,255
29,11,1228,8,21.17647,55.294117,86,-1.5625,-5.46875,50,67.058823,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,17,90.100006,80,13.632,0,0,8544,0,255
30,11,1228,8,21.17647,55.294117,86,-1.5625,-5.46875,50,67.058823,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,100,84.599998,13.613,0,0,8544,0,255
31,11,1228,8,21.17647,30.588236,86,-1.5625,-5.46875,50,67.058823,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,100,84.599998,13.613,0,0,8544,0,255
32,13,871,12,20.392157,30.588236,86,0.78125,-2.34375,34,67.058823,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,100,84.599998,13.613,0,0,8544,0,255
33,13,871,12,20.392157,30.588236,86,0.78125,-2.34375,34,62.745098,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,110.300003,89.699997,13.613,0,0,8544,0,255
34,13,871,12,20.392157,30.588236,86,0.78125,-2.34375,34,62.745098,52.941177,20.784313,36.862743,20.784313,0,100,1.568627,56,17,110.300003,89.699997,13.593,0,0,8544,0,255
35,13,941.25,12,20.392157,38.823528,86,-1.5625,-6.25,37,62.745098,52.941177,20.784313,36.862743,20.784313,0,100,1.568627,56,6,110.300003,89.699997,13.593,0,0,8544,0,255
36,15,941.25,12,18.82353,38.823528,86,-1.5625,-6.25,37,62.745098,52.941177,20.784313,36.862743,20.784313,0,100,1.568627,56,6,110.300003,89.699997,13.593,0,0,8544,0,255
37,15,941.25,12,18.82353,38.823528,86,-1.5625,-6.25,37,60.392159,54.117645,20.784313,36.862743,20.784313,0,100,2.352941,56,6,121,95.199997,13.632,0,0,8544,0,255
38,15,941.25,12,18.82353,38.823528,86,-1.5625,-6.25,37,60.392159,54.117645,21.960785,37.64706,21.17647,0,100,2.352941,56,6,121,95.199997,13.632,0,0,8544,0,255
39,15,1104.5,13,21.568628,60,87,-1.5625,-5.46875,57,60.392159,54.117645,21.960785,37.64706,21.17647,0,100,2.352941,56,10,121,95.199997,13.632,0,0,8544,0,255
40,17,1104.5,13,21.568628,60,87,-1.5625,-5.46875,57,60.392159,54.117645,21.960785,37.64706,21.17647,0,100,2.352941,56,10,121,95.199997,13.632,0,0,8544,0,255
41,17,1104.5,13,21.568628,60,87,-1.5625,-5.46875,57,60.392159,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,10,127.300003,98.399994,13.652,0,0,8544,0,255
42,17,1104.5,13,21.568628,50.588234,87,-1.5625,-5.46875,57,60.392159,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,10,127.300003,98.399994,13.652,0,0,8544,0,255
43,18,1348.25,17,21.568628,50.588234,87,-2.34375,-6.25,49,60.392159,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,18,127.300003,98.399994,13.652,0,0,8544,0,255
44,18,1348.25,17,21.568628,50.588234,87,-2.34375,-6.25,49,57.254902,54.509804,22.352942,38.431374,21.568628,0,100,2.745098,56,18,141,105.699997,13.652,0,0,8544,0,255
45,18,1348.25,17,21.568628,50.588234,87,-2.34375,-6.25,49,57.254902,52.941177,23.529411,39.215687,23.137255,0,100,0.392157,56,18,141,105.699997,13.632,0,0,8544,0,255
46,18,978,19,21.568628,81.176468,88,-5.46875,-6.25,80,57.254902,52.941177,23.529411,39.215687,23.137255,0,100,0.392157,56,18,141,105.699997,13.632,0,0,8544,0,255
47,20,978,19,23.137255,81.176468,88,-5.46875,-6.25,80,57.254902,52.941177,23.529411,39.215687,23.137255,0,100,0.392157,56,-8,141,105.699997,13.632,0,0,8544,0,255
48,20,978,19,23.137255,81.176468,88,-5.46875,-6.25,80,62.745098,55.294117,23.529411,39.215687,23.137255,0,100,3.137255,56,-8,156.800003,114.199997,13.613,0,0,8544,0,255
49,20,978,19,23.137255,81.176468,88,-5.46875,-6.25,80,62.745098,55.294117,22.352942,38.431374,21.960785,0,100,3.137255,56,-8,156.800003,114.199997,13.613,0,0,8544,0,255
50,20,1134.25,22,18.82353,54.117645,88,-2.34375,-4.6875,52,62.745098,55.294117,22.352942,38.431374,21.960785,0,100,3.137255,56,16,156.800003,114.199997,13.613,0,0,8544,0,255
51,22,1134.25,22,18.82353,54.117645,88,-2.34375,-4.6875,52,60.392159,55.294117,22.352942,38.431374,21.960785,0,100,3.137255,56,16,156.800003,114.199997,13.613,0,0,8544,0,255
52,22,1134.25,22,18.82353,54.117645,88,-2.34375,-4.6875,52,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,56,16,172.5,123.300003,13.632,0,0,8544,0,255
53,22,1134.25,22,18.82353,32.941177,88,-2.34375,-4.6875,52,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,56,16,172.5,123.300003,13.632,0,0,8544,0,255
54,24,978.75,23,18.82353,32.941177,89,0,-0.78125,34,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,56,9,172.5,123.300003,13.632,0,0,8544,0,255
